"terms","prob"
"shows",0.000150118391315488
"drink",0.000150118391315488
"hands",0.000149974770213423
"answer",0.000149543906908242
"challenge",0.000149113043604592
"air",0.000149113043604592
"boys",0.000148394938101945
"police",0.000148251317001936
"bar",0.000148107695902101
"known",0.000148107695902101
"age",0.000147964074802441
"market",0.000147389590405563
"whatever",0.000147389590405563
"simple",0.000146958727109767
"hold",0.000146671484913465
"south",0.000146671484913465
"alone",0.000146671484913465
"stand",0.000146384242717884
"above",0.000146240621620365
"text",0.000145809758328901
"due",0.000145522516135508
"whether",0.000145091652846804
"perhaps",0.000145091652846804
"april",0.000144660789559775
"listening",0.000144517168464474
"lord",0.000144373547369361
"sun",0.000144086305179702
"strong",0.000144086305179702
"act",0.000143942684085158
"dream",0.000143511820802671
"design",0.000143080957521915
"piece",0.000142937336428717
"cover",0.000142793715335714
"step",0.000142793715335714
"exactly",0.000142793715335714
"usually",0.000142793715335714
"tired",0.000142650094242906
"completely",0.000141931988781817
"war",0.000141931988781817
"you'll",0.00014092664114466
"middle",0.00014092664114466
"wine",0.000140783020054446
"pictures",0.000140639398964435
"date",0.000140495777874629
"tweets",0.000140495777874629
"fast",0.000140495777874629
"success",0.000140352156785027
"agree",0.000140352156785027
"create",0.000139921293517459
"dark",0.000139634051340116
"met",0.000139346809163609
"played",0.000139059566987942
"sign",0.000138915945900425
"spent",0.000138628703726029
"style",0.000138485082639151
"website",0.000138341461552487
"million",0.000138197840466037
"learning",0.000138197840466037
"dad",0.000137910598293785
"sent",0.000137623356122399
"etc",0.000137336113951886
"sick",0.000137336113951886
"entire",0.000137192492866958
"band",0.00013704887178225
"process",0.000136761629613498
"kid",0.000136618008529455
"eating",0.000136618008529455
"near",0.000136474387445635
"wife",0.000136330766362039
"ideas",0.000135325418783185
"added",0.000135181797701403
"sitting",0.000134607313376584
"fire",0.000134607313376584
"control",0.00013432007121557
"truth",0.000134176450135415
"moving",0.000134176450135415
"rain",0.00013388920797581
"anyway",0.000133601965817153
"chocolate",0.000133314723659449
"level",0.000133314723659449
"die",0.000133171102580956
"upon",0.000133027481502704
"building",0.000133027481502704
"non",0.000133027481502704
"program",0.000132883860424694
"personal",0.000132740239346925
"father",0.000132740239346925
"issue",0.000132740239346925
"ways",0.000132022133961745
"bought",0.000132022133961745
"missed",0.000131878512885447
"beat",0.000131734891809396
"dance",0.000131591270733594
"low",0.000131591270733594
"eye",0.000131447649658042
"president",0.000131304028582739
"spend",0.000131016786432888
"york",0.000130873165358342
"round",0.000130729544284049
"heat",0.000129724196771166
"character",0.000129293333555247
"x",0.000129149712483798
"gift",0.000128575228200651
"club",0.000128575228200651
"choice",0.000128431607130531
"stories",0.000128287986060679
"shot",0.00012771350178397
"record",0.000127569880715472
"themselves",0.000126851775377108
"save",0.000126564533243705
"proud",0.000126420912177423
"worked",0.000126420912177423
"chicago",0.000126420912177423
"himself",0.000126277291111422
"dude",0.000125990048980269
"photo",0.000125559185785671
"note",0.000125128322593657
"couldn't",0.000125128322593657
"clear",0.000124984701530231
"lmao",0.000124841080467096
"attention",0.000124697459404253
"thursday",0.000124697459404253
"husband",0.000124697459404253
"fight",0.000124553838341703
"march",0.000124410217279447
"america",0.000124410217279447
"members",0.000123692111972614
"form",0.000123692111972614
"color",0.000123548490912144
"doesn",0.000123117627732545
"action",0.000123117627732545
"album",0.000122830385614333
"thoughts",0.000122543143497347
"interested",0.000122543143497347
"according",0.000122255901381595
"deep",0.000122112280324185
"lead",0.000121681417153832
"cant",0.000121394175041838
"sit",0.000120963311876231
"star",0.00012067606976743
"link",0.000120532448713513
"earth",0.000120388827659921
"sister",0.000120388827659921
"written",0.000120245206606654
"feels",0.000120245206606654
"box",0.000119957964501102
"issues",0.000119957964501102
"pain",0.000119527101345245
"wear",0.000119527101345245
"absolutely",0.000119527101345245
"brother",0.000119527101345245
"third",0.000119383480293956
"continue",0.000119383480293956
"lose",0.000119096238192382
"san",0.000118808996092152
"energy",0.000118521753993277
"research",0.000118234511895767
"brought",0.000118234511895767
"recently",0.000118090890847526
"goal",0.000117803648752081
"chicken",0.000117516406658026
"followed",0.000117372785611523
"photos",0.000117229164565371
"table",0.000117229164565371
"obama",0.000117085543519571
"catch",0.000116941922474126
"lovely",0.000116798301429035
"states",0.000116654680384301
"speak",0.000116654680384301
"cream",0.000116511059339925
"evening",0.000116511059339925
"mention",0.000116511059339925
"minute",0.000116367438295907
"fresh",0.000116367438295907
"plus",0.000116367438295907
"truly",0.00011622381725225
"hello",0.000116080196208955
"learned",0.000115936575166023
"type",0.000115792954123456
"major",0.000115362090997953
"bro",0.000115218469956856
"extra",0.000115218469956856
"safe",0.000115074848916131
"stupid",0.000115074848916131
"account",0.000114931227875779
"itself",0.0001147876068358
"enjoyed",0.000114356743718124
"problems",0.000114356743718124
"weird",0.000114356743718124
"shop",0.000114213122679656
"wouldn't",0.000113925880603865
"1st",0.000113925880603865
"afternoon",0.000113495017493062
"focus",0.000113495017493062
"pass",0.000113351396456902
"example",0.000113351396456902
"certain",0.000113064154385754
"finish",0.000112920533350769
"brown",0.000112920533350769
"smile",0.000112776912316178
"internet",0.000112489670248185
"dear",0.000112346049214786
"daughter",0.000112058807149191
"lady",0.000111627944053829
"forever",0.000111627944053829
"training",0.000111484323022855
"north",0.000111340701992292
"songs",0.00011119708096214
"relationship",0.00011119708096214
"complete",0.00011119708096214
"west",0.000111053459932401
"ice",0.000111053459932401
"article",0.000110909838903076
"events",0.000110766217874168
"plans",0.000110766217874168
"cup",0.000110766217874168
"message",0.000110478975817606
"offer",0.000110478975817606
"starts",0.000110478975817606
"till",0.000110335354789955
"lucky",0.000110335354789955
"view",0.000110191733762728
"anymore",0.000110191733762728
"sort",0.000110048112735924
"per",0.000109904491709547
"general",0.000109904491709547
"via",0.000109904491709547
"among",0.000109617249658077
"figure",0.000109473628632987
"info",0.000109473628632987
"appreciate",0.000109186386584108
"hopefully",0.000109186386584108
"difficult",0.000109186386584108
"details",0.000109042765560322
"changed",0.000109042765560322
"quickly",0.000109042765560322
"conference",0.000108611902491597
"oil",0.000108324660447993
"feet",0.000108324660447993
"original",0.000108324660447993
"imagine",0.00010818103942686
"wearing",0.00010818103942686
"race",0.000107750176366158
"price",0.000107750176366158
"ah",0.000107750176366158
"bill",0.000107606555346829
"board",0.000107606555346829
"fear",0.000107606555346829
"you've",0.000107462934327956
"version",0.00010731931330954
"ball",0.000107175692291583
"loving",0.000107175692291583
"present",0.000106888450257055
"mark",0.000106888450257055
"points",0.000106888450257055
"six",0.000106744829240487
"meant",0.000106744829240487
"trust",0.000106744829240487
"cake",0.000106744829240487
"happens",0.000106601208224386
"quick",0.000106026724164685
"court",0.000105883103150946
"worst",0.000105739482137684
"tickets",0.000105595861124903
"main",0.000105595861124903
"warm",0.000105595861124903
"library",0.000105452240112604
"walking",0.000105452240112604
"contact",0.000105164998089459
"return",0.000105164998089459
"realize",0.000105021377078618
"track",0.000105021377078618
"wednesday",0.000104877756068267
"university",0.000104877756068267
"thats",0.000104877756068267
"mad",0.000104734135058407
"beginning",0.000104734135058407
"tuesday",0.000104446893040172
"hurt",0.000104446893040172
"characters",0.000104446893040172
"hoping",0.000104446893040172
"touch",0.000104303272031801
"co",0.00010415965102393
"study",0.00010415965102393
"likely",0.000103872409009696
"field",0.000103728788003338
"except",0.000103728788003338
"choose",0.000103585166997487
"ride",0.000103441545992148
"opportunity",0.000103441545992148
"radio",0.000103441545992148
"ground",0.000103297924987321
"test",0.000103297924987321
"poor",0.000103297924987321
"political",0.000103297924987321
"ahead",0.000103010682979215
"peace",0.000103010682979215
"aren't",0.000103010682979215
"moved",0.000103010682979215
"practice",0.000103010682979215
"tour",0.000102723440973185
"david",0.000102723440973185
"watched",0.000102579819970954
"leaving",0.000102579819970954
"serious",0.000102579819970954
"report",0.000102436198969249
"floor",0.000102436198969249
